nombre,espesor,conductividad,tt
347_M01,2.295833333,1051184.21,200
347_M02,2.34,1118491.27,300
347_M03,2.2709,1142610.84,400
347_M04,2.34,1216575.14,500
347_M05,2.329166667,1308978.66,600
347_M06,2.215,1371864.4,700
347_M07,2.31,1387902.82,
347_M08,2.3025,1415286.59,800
347_M09,2.225833333,1377247.16,
347_M11,2.243,1432375.75,
316_M01,2.3022,1201980,200
316_M02,2.323,1228240,300
316_M03,2.36,1263840,400
316_M04,2.3428,1276660,500
316_M05,2.286,1279890,600
316_M06,2.333,1328030,700
316_M07,2.3136,1356150,800
316_M08,2.2812,1340660,860
316_M09,2.3268,1307190,900
304_M02,2.289,1030000,
304_M03,2.3,1040000,
304_M04,2.312,1060000,
304_M05,2.317,1140000,
304_M06,2.28,1240000,
304_M07,2.288,1260000,
304_M09,2.268,1310000,
304_M11,2.317,1400000,
P066,14.957,610200,
P068,14.957,8632000,
P057,14.957,3948000,
P125,14.957,58910000,
P064,14.957,34430000,
P071,14.957,17470000,
1010_M0,6.5,3830000,
1010_M1,6.5,3830000,
NFNE,1.20,1,
